,duration2012f,duration2012s
01,0.0,0.0
02,0.0,0.0
03,19114.6363636,0.0
04,10234.9126214,0.0
05,7387.11578947,0.0
06,9824.98076923,0.0
07,0.0,21837.2465753
08,0.0,11929.3962264
09,0.0,10896.1016949
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
