zip_code,-30,30-40,40-50,50+
01385,0.0,0.0,1.0,0.0
01453,1.0,0.0,0.0,0.0
01462,0.0,3.0,0.0,0.0
01463,0.0,0.0,0.0,1.0
01475,0.0,0.0,2.0,0.0
01519,0.0,0.0,1.0,0.0
01545,0.0,0.0,0.0,1.0
01719,0.0,0.0,0.0,1.0
01720,0.0,0.0,0.0,1.0
01742,0.0,0.0,0.0,2.0
01746,0.0,0.0,1.0,0.0
01749,0.0,2.0,0.0,0.0
01757,0.0,0.0,0.0,1.0
01760,0.0,0.0,1.0,2.0
01770,0.0,0.0,0.0,2.0
01772,0.0,0.0,1.0,0.0
01775,0.0,0.0,0.0,3.0
01810,0.0,0.0,0.0,2.0
01821,0.0,0.0,0.0,1.0
01824,0.0,0.0,0.0,2.0
