,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
0,B00362,,8178,2012-08-12T02:20:00,/api/v1/station/33/,,460835,/api/v1/trip/460835/,2012-08-12T00:03:00,/api/v1/station/33/,Closed,Casual,
1,B00441,,7148,2012-07-20T19:08:00,/api/v1/station/36/,,401841,/api/v1/trip/401841/,2012-07-20T17:09:00,/api/v1/station/33/,Closed,Casual,
2,B00381,,7767,2012-07-15T13:36:00,/api/v1/station/33/,,388804,/api/v1/trip/388804/,2012-07-15T11:26:00,/api/v1/station/33/,Closed,Casual,
3,B00526,,3809,2012-07-15T04:51:00,/api/v1/station/39/,,388513,/api/v1/trip/388513/,2012-07-15T03:48:00,/api/v1/station/33/,Closed,Casual,
4,B00276,,4953,2012-07-05T17:13:00,/api/v1/station/38/,,363846,/api/v1/trip/363846/,2012-07-05T15:50:00,/api/v1/station/33/,Closed,Casual,
5,B00508,,4129,2012-06-12T14:29:00,/api/v1/station/38/,,311466,/api/v1/trip/311466/,2012-06-12T13:20:00,/api/v1/station/33/,Closed,Casual,
6,B00579,,4048,2012-06-08T12:28:00,/api/v1/station/33/,,301753,/api/v1/trip/301753/,2012-06-08T11:21:00,/api/v1/station/33/,Closed,Casual,
7,B00539,,4061,2012-05-31T17:05:00,/api/v1/station/42/,,288334,/api/v1/trip/288334/,2012-05-31T15:57:00,/api/v1/station/33/,Closed,Casual,
8,B00545,,6258,2012-05-30T22:04:00,/api/v1/station/50/,,286651,/api/v1/trip/286651/,2012-05-30T20:19:00,/api/v1/station/33/,Closed,Casual,
9,B00533,,4887,2012-05-19T17:05:00,/api/v1/station/33/,,261099,/api/v1/trip/261099/,2012-05-19T15:43:00,/api/v1/station/33/,Closed,Casual,
10,B00327,,5921,2012-05-19T17:05:00,/api/v1/station/33/,,261008,/api/v1/trip/261008/,2012-05-19T15:26:00,/api/v1/station/33/,Closed,Casual,
11,B00603,,4940,2012-04-29T16:02:00,/api/v1/station/45/,,225077,/api/v1/trip/225077/,2012-04-29T14:40:00,/api/v1/station/33/,Closed,Casual,
12,B00407,,5368,2012-04-28T15:47:00,/api/v1/station/60/,,223259,/api/v1/trip/223259/,2012-04-28T14:18:00,/api/v1/station/33/,Closed,Casual,
13,B00135,,11391,2012-09-16T17:54:00,/api/v1/station/53/,,576233,/api/v1/trip/576233/,2012-09-16T14:45:00,/api/v1/station/33/,Closed,Casual,
14,B00213,,6206,2012-09-12T20:17:00,/api/v1/station/32/,,562302,/api/v1/trip/562302/,2012-09-12T18:34:00,/api/v1/station/33/,Closed,Casual,
15,T01057,,8282,2012-08-30T17:17:00,/api/v1/station/33/,,520906,/api/v1/trip/520906/,2012-08-30T14:58:00,/api/v1/station/33/,Closed,Casual,
16,B00471,,50779,2012-08-26T17:34:00,/api/v1/station/33/,,507282,/api/v1/trip/507282/,2012-08-26T03:27:00,/api/v1/station/33/,Closed,Casual,
17,T01180,,4315,2012-08-15T13:24:00,/api/v1/station/52/,,471339,/api/v1/trip/471339/,2012-08-15T12:12:00,/api/v1/station/33/,Closed,Casual,
18,B00076,,11179,2012-08-13T14:38:00,/api/v1/station/33/,,464719,/api/v1/trip/464719/,2012-08-13T11:31:00,/api/v1/station/33/,Closed,Casual,
19,B00067,,3793,2012-07-28T14:57:00,/api/v1/station/33/,,421341,/api/v1/trip/421341/,2012-07-28T13:54:00,/api/v1/station/33/,Closed,Casual,
20,B00512,,4692,2012-07-21T17:00:00,/api/v1/station/53/,,404186,/api/v1/trip/404186/,2012-07-21T15:42:00,/api/v1/station/33/,Closed,Casual,
21,B00469,,4301,2012-05-28T16:29:00,/api/v1/station/33/,,281119,/api/v1/trip/281119/,2012-05-28T15:18:00,/api/v1/station/33/,Closed,Casual,
22,B00347,,5999,2012-05-19T17:04:00,/api/v1/station/33/,,260985,/api/v1/trip/260985/,2012-05-19T15:24:00,/api/v1/station/33/,Closed,Casual,
23,B00454,,4972,2012-05-12T12:09:00,/api/v1/station/42/,,245135,/api/v1/trip/245135/,2012-05-12T10:46:00,/api/v1/station/33/,Closed,Casual,
24,B00350,,5327,2012-04-21T23:26:00,/api/v1/station/10/,,213945,/api/v1/trip/213945/,2012-04-21T21:57:00,/api/v1/station/33/,Closed,Casual,
25,B00159,,6332,2012-04-15T19:18:00,/api/v1/station/33/,,199319,/api/v1/trip/199319/,2012-04-15T17:33:00,/api/v1/station/33/,Closed,Casual,
26,B00591,,7655,2012-04-15T15:33:00,/api/v1/station/12/,,198270,/api/v1/trip/198270/,2012-04-15T13:25:00,/api/v1/station/33/,Closed,Casual,
27,B00574,,154082,2012-03-25T20:05:00,/api/v1/station/23/,,167426,/api/v1/trip/167426/,2012-03-24T01:17:00,/api/v1/station/33/,Closed,Casual,
28,B00315,,10951,2012-09-16T17:54:00,/api/v1/station/53/,,576278,/api/v1/trip/576278/,2012-09-16T14:52:00,/api/v1/station/33/,Closed,Casual,
29,B00056,,12611,2012-08-08T02:01:00,/api/v1/station/33/,,449135,/api/v1/trip/449135/,2012-08-07T22:31:00,/api/v1/station/33/,Closed,Casual,
30,B00484,,4006,2012-07-23T21:42:00,/api/v1/station/38/,,410263,/api/v1/trip/410263/,2012-07-23T20:35:00,/api/v1/station/33/,Closed,Casual,
