,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
47,B00086,,9679,2012-04-13T22:31:00,/api/v1/station/33/,,194232,/api/v1/trip/194232/,2012-04-13T19:50:00,/api/v1/station/33/,Closed,Casual,
48,B00485,1966.0,60760,2012-06-25T09:25:00,/api/v1/station/40/,Female,337594,/api/v1/trip/337594/,2012-06-24T16:32:00,/api/v1/station/33/,Closed,Registered,02109
49,B00584,,49221,2012-06-23T16:21:00,/api/v1/station/33/,,334651,/api/v1/trip/334651/,2012-06-23T02:41:00,/api/v1/station/33/,Closed,Casual,
50,B00131,1950.0,4118,2012-06-17T17:20:00,/api/v1/station/33/,Female,322272,/api/v1/trip/322272/,2012-06-17T16:11:00,/api/v1/station/33/,Closed,Registered,02215
51,B00252,,104155,2012-05-29T14:59:00,/api/v1/station/33/,,279971,/api/v1/trip/279971/,2012-05-28T10:03:00,/api/v1/station/33/,Closed,Casual,
52,B00196,,5168,2012-05-28T08:55:00,/api/v1/station/47/,,279833,/api/v1/trip/279833/,2012-05-28T07:29:00,/api/v1/station/33/,Closed,Casual,
53,B00294,,4211,2012-05-27T17:04:00,/api/v1/station/58/,,278539,/api/v1/trip/278539/,2012-05-27T15:54:00,/api/v1/station/33/,Closed,Casual,
54,B00536,1950.0,4063,2012-04-20T12:50:00,/api/v1/station/33/,Female,209825,/api/v1/trip/209825/,2012-04-20T11:42:00,/api/v1/station/33/,Closed,Registered,02215
55,B00436,1967.0,46807,2012-04-18T12:04:00,/api/v1/station/25/,Male,204883,/api/v1/trip/204883/,2012-04-17T23:04:00,/api/v1/station/33/,Closed,Registered,02118
56,B00518,,4806,2012-04-14T16:49:00,/api/v1/station/24/,,195934,/api/v1/trip/195934/,2012-04-14T15:29:00,/api/v1/station/33/,Closed,Casual,
57,B00535,,7489,2012-04-05T04:01:00,/api/v1/station/15/,,180868,/api/v1/trip/180868/,2012-04-05T01:56:00,/api/v1/station/33/,Closed,Casual,
58,B00104,,4327,2012-06-18T19:38:00,/api/v1/station/33/,,325016,/api/v1/trip/325016/,2012-06-18T18:26:00,/api/v1/station/33/,Closed,Casual,
59,B00455,,40446,2012-06-09T13:27:00,/api/v1/station/34/,,303207,/api/v1/trip/303207/,2012-06-09T02:13:00,/api/v1/station/33/,Closed,Casual,
60,B00301,,8066,2012-05-26T15:45:00,/api/v1/station/35/,,275391,/api/v1/trip/275391/,2012-05-26T13:30:00,/api/v1/station/33/,Closed,Casual,
61,B00283,,9594,2012-04-13T22:31:00,/api/v1/station/33/,,194236,/api/v1/trip/194236/,2012-04-13T19:51:00,/api/v1/station/33/,Closed,Casual,
62,B00048,,27208,2012-06-23T22:40:00,/api/v1/station/61/,,335480,/api/v1/trip/335480/,2012-06-23T15:07:00,/api/v1/station/33/,Closed,Casual,
63,B00570,,5564,2012-06-22T17:39:00,/api/v1/station/47/,,333787,/api/v1/trip/333787/,2012-06-22T16:06:00,/api/v1/station/33/,Closed,Casual,
64,B00489,,4164,2012-05-28T12:28:00,/api/v1/station/25/,,280168,/api/v1/trip/280168/,2012-05-28T11:19:00,/api/v1/station/33/,Closed,Casual,
65,B00171,,6867,2012-05-27T18:57:00,/api/v1/station/37/,,278838,/api/v1/trip/278838/,2012-05-27T17:03:00,/api/v1/station/33/,Closed,Casual,
66,B00394,,4790,2012-05-27T15:13:00,/api/v1/station/36/,,278019,/api/v1/trip/278019/,2012-05-27T13:53:00,/api/v1/station/33/,Closed,Casual,
67,B00456,,4645,2012-04-21T14:36:00,/api/v1/station/42/,,212277,/api/v1/trip/212277/,2012-04-21T13:18:00,/api/v1/station/33/,Closed,Casual,
68,B00101,1980.0,3976,2012-04-10T23:41:00,/api/v1/station/51/,Female,189577,/api/v1/trip/189577/,2012-04-10T22:35:00,/api/v1/station/33/,Closed,Registered,02125
69,B00421,,5365,2012-04-08T14:41:00,/api/v1/station/33/,,185743,/api/v1/trip/185743/,2012-04-08T13:12:00,/api/v1/station/33/,Closed,Casual,
70,B00395,,7329,2012-04-07T12:24:00,/api/v1/station/33/,,184396,/api/v1/trip/184396/,2012-04-07T10:22:00,/api/v1/station/33/,Closed,Casual,
71,B00441,,4255,2012-05-15T15:15:00,/api/v1/station/33/,,252040,/api/v1/trip/252040/,2012-05-15T14:04:00,/api/v1/station/33/,Closed,Casual,
