,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
0,B00362,,8178,2012-08-12T02:20:00,/api/v1/station/33/,,460835,/api/v1/trip/460835/,2012-08-12T00:03:00,/api/v1/station/33/,Closed,Casual,
1,B00441,,7148,2012-07-20T19:08:00,/api/v1/station/36/,,401841,/api/v1/trip/401841/,2012-07-20T17:09:00,/api/v1/station/33/,Closed,Casual,
2,B00381,,7767,2012-07-15T13:36:00,/api/v1/station/33/,,388804,/api/v1/trip/388804/,2012-07-15T11:26:00,/api/v1/station/33/,Closed,Casual,
3,B00526,,3809,2012-07-15T04:51:00,/api/v1/station/39/,,388513,/api/v1/trip/388513/,2012-07-15T03:48:00,/api/v1/station/33/,Closed,Casual,
4,B00276,,4953,2012-07-05T17:13:00,/api/v1/station/38/,,363846,/api/v1/trip/363846/,2012-07-05T15:50:00,/api/v1/station/33/,Closed,Casual,
5,B00135,,11391,2012-09-16T17:54:00,/api/v1/station/53/,,576233,/api/v1/trip/576233/,2012-09-16T14:45:00,/api/v1/station/33/,Closed,Casual,
6,B00213,,6206,2012-09-12T20:17:00,/api/v1/station/32/,,562302,/api/v1/trip/562302/,2012-09-12T18:34:00,/api/v1/station/33/,Closed,Casual,
7,T01057,,8282,2012-08-30T17:17:00,/api/v1/station/33/,,520906,/api/v1/trip/520906/,2012-08-30T14:58:00,/api/v1/station/33/,Closed,Casual,
8,B00471,,50779,2012-08-26T17:34:00,/api/v1/station/33/,,507282,/api/v1/trip/507282/,2012-08-26T03:27:00,/api/v1/station/33/,Closed,Casual,
9,T01180,,4315,2012-08-15T13:24:00,/api/v1/station/52/,,471339,/api/v1/trip/471339/,2012-08-15T12:12:00,/api/v1/station/33/,Closed,Casual,
10,B00076,,11179,2012-08-13T14:38:00,/api/v1/station/33/,,464719,/api/v1/trip/464719/,2012-08-13T11:31:00,/api/v1/station/33/,Closed,Casual,
11,B00067,,3793,2012-07-28T14:57:00,/api/v1/station/33/,,421341,/api/v1/trip/421341/,2012-07-28T13:54:00,/api/v1/station/33/,Closed,Casual,
12,B00512,,4692,2012-07-21T17:00:00,/api/v1/station/53/,,404186,/api/v1/trip/404186/,2012-07-21T15:42:00,/api/v1/station/33/,Closed,Casual,
13,B00315,,10951,2012-09-16T17:54:00,/api/v1/station/53/,,576278,/api/v1/trip/576278/,2012-09-16T14:52:00,/api/v1/station/33/,Closed,Casual,
14,B00056,,12611,2012-08-08T02:01:00,/api/v1/station/33/,,449135,/api/v1/trip/449135/,2012-08-07T22:31:00,/api/v1/station/33/,Closed,Casual,
15,B00484,,4006,2012-07-23T21:42:00,/api/v1/station/38/,,410263,/api/v1/trip/410263/,2012-07-23T20:35:00,/api/v1/station/33/,Closed,Casual,
16,B00125,,46341,2012-07-10T09:09:00,/api/v1/station/33/,,374656,/api/v1/trip/374656/,2012-07-09T20:16:00,/api/v1/station/33/,Closed,Casual,
17,B00341,,44023,2012-07-04T14:24:00,/api/v1/station/34/,,359617,/api/v1/trip/359617/,2012-07-04T02:11:00,/api/v1/station/33/,Closed,Casual,
18,B00563,1950.0,5127,2012-07-01T14:46:00,/api/v1/station/36/,Female,352610,/api/v1/trip/352610/,2012-07-01T13:20:00,/api/v1/station/33/,Closed,Registered,02215
19,T01315,,3695,2012-09-08T13:34:00,/api/v1/station/75/,,547553,/api/v1/trip/547553/,2012-09-08T12:33:00,/api/v1/station/33/,Closed,Casual,
20,B00068,,4257,2012-08-12T12:17:00,/api/v1/station/67/,,461303,/api/v1/trip/461303/,2012-08-12T11:06:00,/api/v1/station/33/,Closed,Casual,
21,B00486,,5456,2012-07-21T22:31:00,/api/v1/station/23/,,405282,/api/v1/trip/405282/,2012-07-21T21:00:00,/api/v1/station/33/,Closed,Casual,
22,T01371,,4265,2012-09-17T15:10:00,/api/v1/station/73/,,579419,/api/v1/trip/579419/,2012-09-17T13:59:00,/api/v1/station/33/,Closed,Casual,
23,T01079,,5118,2012-09-07T17:41:00,/api/v1/station/9/,,545340,/api/v1/trip/545340/,2012-09-07T16:16:00,/api/v1/station/33/,Closed,Casual,
24,B00317,1950.0,4145,2012-09-07T13:46:00,/api/v1/station/33/,Female,544671,/api/v1/trip/544671/,2012-09-07T12:37:00,/api/v1/station/33/,Closed,Registered,02215
25,B00174,,5522,2012-09-02T21:07:00,/api/v1/station/33/,,532076,/api/v1/trip/532076/,2012-09-02T19:35:00,/api/v1/station/33/,Closed,Casual,
26,T01335,,7522,2012-08-16T13:46:00,/api/v1/station/33/,,474476,/api/v1/trip/474476/,2012-08-16T11:40:00,/api/v1/station/33/,Closed,Casual,
27,B00344,,12122,2012-07-21T19:47:00,/api/v1/station/34/,,404439,/api/v1/trip/404439/,2012-07-21T16:25:00,/api/v1/station/33/,Closed,Casual,
28,B00131,,47961,2012-07-14T12:02:00,/api/v1/station/16/,,386035,/api/v1/trip/386035/,2012-07-13T22:43:00,/api/v1/station/33/,Closed,Casual,
29,B00364,,6680,2012-07-11T03:45:00,/api/v1/station/55/,,377878,/api/v1/trip/377878/,2012-07-11T01:54:00,/api/v1/station/33/,Closed,Casual,
30,B00248,,4628,2012-07-03T20:52:00,/api/v1/station/33/,,359080,/api/v1/trip/359080/,2012-07-03T19:35:00,/api/v1/station/33/,Closed,Casual,
