,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
88,B00157,,4203,2011-08-06T16:07:00,/api/v1/station/52/,,9561,/api/v1/trip/9561/,2011-08-06T14:57:00,/api/v1/station/33/,Closed,Casual,
89,B00217,,8685,2011-08-06T17:09:00,/api/v1/station/53/,,9523,/api/v1/trip/9523/,2011-08-06T14:44:00,/api/v1/station/33/,Closed,Casual,
90,B00220,,8728,2011-08-06T17:09:00,/api/v1/station/53/,,9522,/api/v1/trip/9522/,2011-08-06T14:44:00,/api/v1/station/33/,Closed,Casual,
91,B00550,,4169,2011-08-06T14:55:00,/api/v1/station/33/,,9357,/api/v1/trip/9357/,2011-08-06T13:46:00,/api/v1/station/33/,Closed,Casual,
92,B00157,,4228,2011-08-06T14:55:00,/api/v1/station/33/,,9355,/api/v1/trip/9355/,2011-08-06T13:45:00,/api/v1/station/33/,Closed,Casual,
93,B00109,,4378,2011-08-06T14:55:00,/api/v1/station/33/,,9350,/api/v1/trip/9350/,2011-08-06T13:42:00,/api/v1/station/33/,Closed,Casual,
94,B00320,,5947,2011-08-06T14:52:00,/api/v1/station/20/,,9286,/api/v1/trip/9286/,2011-08-06T13:13:00,/api/v1/station/33/,Closed,Casual,
95,B00202,,9595,2011-08-05T13:33:00,/api/v1/station/40/,,7266,/api/v1/trip/7266/,2011-08-05T10:53:00,/api/v1/station/33/,Closed,Casual,
96,B00418,,9582,2011-08-05T13:33:00,/api/v1/station/40/,,7264,/api/v1/trip/7264/,2011-08-05T10:53:00,/api/v1/station/33/,Closed,Casual,
97,B00482,,33387,2011-08-05T20:06:00,/api/v1/station/33/,,7256,/api/v1/trip/7256/,2011-08-05T10:50:00,/api/v1/station/33/,Closed,Casual,
98,B00469,,33422,2011-08-05T20:06:00,/api/v1/station/33/,,7255,/api/v1/trip/7255/,2011-08-05T10:49:00,/api/v1/station/33/,Closed,Casual,
99,B00484,,7796,2011-08-05T12:59:00,/api/v1/station/42/,,7253,/api/v1/trip/7253/,2011-08-05T10:49:00,/api/v1/station/33/,Closed,Casual,
100,B00427,,9919,2011-08-05T13:33:00,/api/v1/station/40/,,7251,/api/v1/trip/7251/,2011-08-05T10:47:00,/api/v1/station/33/,Closed,Casual,
101,B00093,,7536,2011-08-05T12:44:00,/api/v1/station/44/,,7231,/api/v1/trip/7231/,2011-08-05T10:38:00,/api/v1/station/33/,Closed,Casual,
102,B00539,,10493,2011-08-05T13:33:00,/api/v1/station/40/,,7230,/api/v1/trip/7230/,2011-08-05T10:38:00,/api/v1/station/33/,Closed,Casual,
103,B00136,,5300,2011-08-05T10:57:00,/api/v1/station/46/,,7163,/api/v1/trip/7163/,2011-08-05T09:28:00,/api/v1/station/33/,Closed,Casual,
104,B00550,,5490,2011-08-05T10:57:00,/api/v1/station/46/,,7157,/api/v1/trip/7157/,2011-08-05T09:26:00,/api/v1/station/33/,Closed,Casual,
105,B00416,,5478,2011-08-05T10:57:00,/api/v1/station/46/,,7156,/api/v1/trip/7156/,2011-08-05T09:26:00,/api/v1/station/33/,Closed,Casual,
106,B00158,,4808,2011-08-04T16:19:00,/api/v1/station/41/,,6139,/api/v1/trip/6139/,2011-08-04T14:59:00,/api/v1/station/33/,Closed,Casual,
107,B00217,,22429,2011-08-04T17:00:00,/api/v1/station/33/,,5839,/api/v1/trip/5839/,2011-08-04T10:46:00,/api/v1/station/33/,Closed,Casual,
108,B00158,,5779,2011-08-04T12:03:00,/api/v1/station/33/,,5822,/api/v1/trip/5822/,2011-08-04T10:27:00,/api/v1/station/33/,Closed,Casual,
109,B00395,,6451,2011-08-04T12:02:00,/api/v1/station/33/,,5811,/api/v1/trip/5811/,2011-08-04T10:14:00,/api/v1/station/33/,Closed,Casual,
110,B00197,,22783,2011-08-04T01:25:00,/api/v1/station/41/,,5412,/api/v1/trip/5412/,2011-08-03T19:05:00,/api/v1/station/33/,Closed,Casual,
111,B00114,,22854,2011-08-04T01:25:00,/api/v1/station/41/,,5410,/api/v1/trip/5410/,2011-08-03T19:04:00,/api/v1/station/33/,Closed,Casual,
112,B00429,,6648,2011-08-03T15:33:00,/api/v1/station/38/,,4976,/api/v1/trip/4976/,2011-08-03T13:42:00,/api/v1/station/33/,Closed,Casual,
113,B00506,,6616,2011-08-03T15:33:00,/api/v1/station/38/,,4975,/api/v1/trip/4975/,2011-08-03T13:43:00,/api/v1/station/33/,Closed,Casual,
114,B00037,,4854,2011-08-03T13:19:00,/api/v1/station/36/,,4877,/api/v1/trip/4877/,2011-08-03T11:58:00,/api/v1/station/33/,Closed,Casual,
115,B00027,,4899,2011-08-03T13:18:00,/api/v1/station/36/,,4870,/api/v1/trip/4870/,2011-08-03T11:57:00,/api/v1/station/33/,Closed,Casual,
116,B00286,,4965,2011-08-03T13:19:00,/api/v1/station/36/,,4869,/api/v1/trip/4869/,2011-08-03T11:56:00,/api/v1/station/33/,Closed,Casual,
117,B00293,,6818,2011-08-03T13:47:00,/api/v1/station/21/,,4867,/api/v1/trip/4867/,2011-08-03T11:54:00,/api/v1/station/33/,Closed,Casual,
118,B00220,,6929,2011-08-03T13:47:00,/api/v1/station/21/,,4864,/api/v1/trip/4864/,2011-08-03T11:52:00,/api/v1/station/33/,Closed,Casual,
119,B00455,,6898,2011-08-03T13:47:00,/api/v1/station/21/,,4863,/api/v1/trip/4863/,2011-08-03T11:52:00,/api/v1/station/33/,Closed,Casual,
120,B00010,,3741,2011-08-03T09:53:00,/api/v1/station/42/,,4755,/api/v1/trip/4755/,2011-08-03T08:50:00,/api/v1/station/33/,Closed,Casual,
121,B00195,,46397,2011-08-03T20:20:00,/api/v1/station/33/,,4671,/api/v1/trip/4671/,2011-08-03T07:27:00,/api/v1/station/33/,Closed,Casual,
122,B00216,,47628,2011-08-03T20:41:00,/api/v1/station/33/,,4669,/api/v1/trip/4669/,2011-08-03T07:27:00,/api/v1/station/33/,Closed,Casual,
123,? (0x241EC230),,33051,2011-08-03T16:33:00,/api/v1/station/33/,,4668,/api/v1/trip/4668/,2011-08-03T07:22:00,/api/v1/station/33/,Closed,Casual,
124,B00350,,6493,2011-08-01T23:29:00,/api/v1/station/33/,,3808,/api/v1/trip/3808/,2011-08-01T21:40:00,/api/v1/station/33/,Closed,Casual,
125,B00035,,6505,2011-08-01T23:29:00,/api/v1/station/33/,,3807,/api/v1/trip/3807/,2011-08-01T21:40:00,/api/v1/station/33/,Closed,Casual,
126,B00159,,50351,2011-08-02T10:14:00,/api/v1/station/8/,,3748,/api/v1/trip/3748/,2011-08-01T20:15:00,/api/v1/station/33/,Closed,Casual,
127,B00469,,4108,2011-07-29T01:13:00,/api/v1/station/33/,,477,/api/v1/trip/477/,2011-07-29T00:05:00,/api/v1/station/33/,Closed,Casual,
128,B00231,,3611,2011-07-29T01:05:00,/api/v1/station/41/,,476,/api/v1/trip/476/,2011-07-29T00:05:00,/api/v1/station/33/,Closed,Casual,
129,B00121,1981.0,13314,2011-07-28T20:41:00,/api/v1/station/35/,Male,222,/api/v1/trip/222/,2011-07-28T16:59:00,/api/v1/station/33/,Closed,Registered,02138
130,B00331,,4431,2011-11-26T14:22:00,/api/v1/station/33/,,155144,/api/v1/trip/155144/,2011-11-26T13:09:00,/api/v1/station/33/,Closed,Casual,
131,B00191,,4849,2011-11-25T16:42:00,/api/v1/station/42/,,154710,/api/v1/trip/154710/,2011-11-25T15:21:00,/api/v1/station/33/,Closed,Casual,
132,B00210,,35768,2011-11-20T11:56:00,/api/v1/station/41/,,151090,/api/v1/trip/151090/,2011-11-20T02:00:00,/api/v1/station/33/,Closed,Casual,
133,B00451,,3806,2011-10-24T14:55:00,/api/v1/station/33/,,123837,/api/v1/trip/123837/,2011-10-24T13:52:00,/api/v1/station/33/,Closed,Casual,
134,B00214,,41942,2011-10-16T14:04:00,/api/v1/station/18/,,111915,/api/v1/trip/111915/,2011-10-16T02:25:00,/api/v1/station/33/,Closed,Casual,
135,B00029,,6046,2011-10-09T15:30:00,/api/v1/station/10/,,101853,/api/v1/trip/101853/,2011-10-09T13:50:00,/api/v1/station/33/,Closed,Casual,
136,B00422,,4228,2011-09-30T16:12:00,/api/v1/station/9/,,88267,/api/v1/trip/88267/,2011-09-30T15:02:00,/api/v1/station/33/,Closed,Casual,
137,B00451,1975.0,77378,2011-09-24T14:23:00,/api/v1/station/22/,Male,77538,/api/v1/trip/77538/,2011-09-23T16:53:00,/api/v1/station/33/,Closed,Registered,03053
138,B00243,,4979,2011-09-05T18:47:00,/api/v1/station/53/,,51872,/api/v1/trip/51872/,2011-09-05T17:24:00,/api/v1/station/33/,Closed,Casual,
139,B00394,,4398,2011-11-21T13:17:00,/api/v1/station/33/,,152497,/api/v1/trip/152497/,2011-11-21T12:04:00,/api/v1/station/33/,Closed,Casual,
140,B00050,1992.0,3753,2011-11-05T22:03:00,/api/v1/station/33/,Female,135743,/api/v1/trip/135743/,2011-11-05T21:00:00,/api/v1/station/33/,Closed,Registered,02215
141,B00213,,3754,2011-10-22T17:19:00,/api/v1/station/33/,,121341,/api/v1/trip/121341/,2011-10-22T16:16:00,/api/v1/station/33/,Closed,Casual,
142,B00058,,8196,2011-10-16T19:25:00,/api/v1/station/50/,,113049,/api/v1/trip/113049/,2011-10-16T17:08:00,/api/v1/station/33/,Closed,Casual,
143,B00517,,8116,2011-09-30T18:21:00,/api/v1/station/38/,,88394,/api/v1/trip/88394/,2011-09-30T16:06:00,/api/v1/station/33/,Closed,Casual,
144,B00189,,38684,2011-09-18T13:01:00,/api/v1/station/33/,,69371,/api/v1/trip/69371/,2011-09-18T02:16:00,/api/v1/station/33/,Closed,Casual,
145,B00362,,6490,2011-09-14T15:41:00,/api/v1/station/33/,,63563,/api/v1/trip/63563/,2011-09-14T13:53:00,/api/v1/station/33/,Closed,Casual,
146,B00394,,4164,2011-09-03T12:12:00,/api/v1/station/33/,,47298,/api/v1/trip/47298/,2011-09-03T11:03:00,/api/v1/station/33/,Closed,Casual,
147,B00318,,3622,2011-10-23T17:50:00,/api/v1/station/33/,,122924,/api/v1/trip/122924/,2011-10-23T16:50:00,/api/v1/station/33/,Closed,Casual,
148,B00251,,41940,2011-10-16T14:03:00,/api/v1/station/18/,,111911,/api/v1/trip/111911/,2011-10-16T02:24:00,/api/v1/station/33/,Closed,Casual,
149,B00327,,15129,2011-10-09T16:46:00,/api/v1/station/47/,,101623,/api/v1/trip/101623/,2011-10-09T12:34:00,/api/v1/station/33/,Closed,Casual,
150,B00475,,3996,2011-10-08T12:44:00,/api/v1/station/15/,,99117,/api/v1/trip/99117/,2011-10-08T11:38:00,/api/v1/station/33/,Closed,Casual,
151,B00161,,10381,2011-10-03T18:56:00,/api/v1/station/21/,,92390,/api/v1/trip/92390/,2011-10-03T16:03:00,/api/v1/station/33/,Closed,Casual,
152,B00057,,5166,2011-09-30T17:13:00,/api/v1/station/9/,,88344,/api/v1/trip/88344/,2011-09-30T15:47:00,/api/v1/station/33/,Closed,Casual,
153,B00486,,27832,2011-09-22T17:28:00,/api/v1/station/33/,,75694,/api/v1/trip/75694/,2011-09-22T09:44:00,/api/v1/station/33/,Closed,Casual,
154,B00257,,44507,2011-09-17T11:02:00,/api/v1/station/37/,,67579,/api/v1/trip/67579/,2011-09-16T22:40:00,/api/v1/station/33/,Closed,Casual,
155,B00044,,14272,2011-10-23T14:17:00,/api/v1/station/9/,,122165,/api/v1/trip/122165/,2011-10-23T10:19:00,/api/v1/station/33/,Closed,Casual,
156,B00236,,38077,2011-10-16T12:56:00,/api/v1/station/18/,,111907,/api/v1/trip/111907/,2011-10-16T02:21:00,/api/v1/station/33/,Closed,Casual,
157,B00302,,71664,2011-10-13T20:45:00,/api/v1/station/33/,,108635,/api/v1/trip/108635/,2011-10-13T00:51:00,/api/v1/station/33/,Closed,Casual,
158,B00229,,6626,2011-09-16T12:26:00,/api/v1/station/33/,,66287,/api/v1/trip/66287/,2011-09-16T10:36:00,/api/v1/station/33/,Closed,Casual,
159,B00424,,4478,2011-09-11T17:33:00,/api/v1/station/23/,,58889,/api/v1/trip/58889/,2011-09-11T16:18:00,/api/v1/station/33/,Closed,Casual,
160,B00508,,3705,2011-09-02T17:32:00,/api/v1/station/32/,,46347,/api/v1/trip/46347/,2011-09-02T16:30:00,/api/v1/station/33/,Closed,Casual,
161,B00317,,64493,2011-11-07T08:28:00,/api/v1/station/9/,,136307,/api/v1/trip/136307/,2011-11-06T14:33:00,/api/v1/station/33/,Closed,Casual,
162,B00079,,77845,2011-09-14T17:07:00,/api/v1/station/9/,,62561,/api/v1/trip/62561/,2011-09-13T19:30:00,/api/v1/station/33/,Closed,Casual,
163,B00408,,9564,2011-10-23T14:56:00,/api/v1/station/38/,,122362,/api/v1/trip/122362/,2011-10-23T12:16:00,/api/v1/station/33/,Closed,Casual,
164,B00575,,5058,2011-10-22T12:49:00,/api/v1/station/3/,,120526,/api/v1/trip/120526/,2011-10-22T11:25:00,/api/v1/station/33/,Closed,Casual,
165,B00548,,13527,2011-10-22T12:57:00,/api/v1/station/9/,,120332,/api/v1/trip/120332/,2011-10-22T09:12:00,/api/v1/station/33/,Closed,Casual,
166,B00349,,13725,2011-10-16T15:49:00,/api/v1/station/56/,,112286,/api/v1/trip/112286/,2011-10-16T12:01:00,/api/v1/station/33/,Closed,Casual,
