,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
435,B00325,1984.0,414,2011-08-31T17:52:00,/api/v1/station/45/,Female,43020,/api/v1/trip/43020/,2011-08-31T17:46:00,/api/v1/station/11/,Closed,Registered,02215
436,B00020,1986.0,362,2011-08-31T17:52:00,/api/v1/station/25/,Male,43019,/api/v1/trip/43019/,2011-08-31T17:46:00,/api/v1/station/16/,Closed,Registered,02118
437,B00572,1960.0,1760,2011-08-31T18:14:00,/api/v1/station/24/,Female,43017,/api/v1/trip/43017/,2011-08-31T17:45:00,/api/v1/station/27/,Closed,Registered,02130
438,B00342,,219,2011-08-31T17:49:00,/api/v1/station/21/,,43016,/api/v1/trip/43016/,2011-08-31T17:46:00,/api/v1/station/36/,Closed,Casual,
439,B00497,1980.0,317,2011-08-31T17:50:00,/api/v1/station/26/,Male,43015,/api/v1/trip/43015/,2011-08-31T17:45:00,/api/v1/station/12/,Closed,Registered,02118
440,B00571,1975.0,301,2011-08-31T17:49:00,/api/v1/station/50/,Male,43014,/api/v1/trip/43014/,2011-08-31T17:44:00,/api/v1/station/25/,Closed,Registered,02118
441,B00550,1978.0,810,2011-08-31T17:57:00,/api/v1/station/33/,Male,43012,/api/v1/trip/43012/,2011-08-31T17:43:00,/api/v1/station/8/,Closed,Registered,02134
442,B00415,,861,2011-08-31T17:58:00,/api/v1/station/21/,,43011,/api/v1/trip/43011/,2011-08-31T17:43:00,/api/v1/station/45/,Closed,Casual,
443,B00063,1978.0,1650,2011-08-31T18:10:00,/api/v1/station/43/,Male,43010,/api/v1/trip/43010/,2011-08-31T17:43:00,/api/v1/station/43/,Closed,Registered,02114
444,B00370,,916,2011-08-31T17:58:00,/api/v1/station/21/,,43009,/api/v1/trip/43009/,2011-08-31T17:43:00,/api/v1/station/45/,Closed,Casual,
445,B00208,1976.0,733,2011-08-31T17:54:00,/api/v1/station/57/,Male,43007,/api/v1/trip/43007/,2011-08-31T17:42:00,/api/v1/station/22/,Closed,Registered,02460
446,B00122,1965.0,1153,2011-08-31T17:59:00,/api/v1/station/43/,Male,43005,/api/v1/trip/43005/,2011-08-31T17:40:00,/api/v1/station/21/,Closed,Registered,02066
447,B00322,1950.0,260,2011-08-31T17:44:00,/api/v1/station/43/,Male,43004,/api/v1/trip/43004/,2011-08-31T17:40:00,/api/v1/station/22/,Closed,Registered,02043
448,B00207,1981.0,509,2011-08-31T17:47:00,/api/v1/station/21/,Male,43002,/api/v1/trip/43002/,2011-08-31T17:39:00,/api/v1/station/3/,Closed,Registered,02118
449,B00098,,753,2011-08-31T17:52:00,/api/v1/station/45/,,43001,/api/v1/trip/43001/,2011-08-31T17:39:00,/api/v1/station/21/,Closed,Casual,
450,B00460,1978.0,410,2011-08-31T17:45:00,/api/v1/station/54/,Male,43000,/api/v1/trip/43000/,2011-08-31T17:38:00,/api/v1/station/6/,Closed,Registered,02118
451,B00021,,757,2011-08-31T17:52:00,/api/v1/station/45/,,42999,/api/v1/trip/42999/,2011-08-31T17:40:00,/api/v1/station/21/,Closed,Casual,
452,B00069,1960.0,923,2011-08-31T17:54:00,/api/v1/station/22/,Male,42998,/api/v1/trip/42998/,2011-08-31T17:38:00,/api/v1/station/44/,Closed,Registered,02129
453,B00355,1986.0,709,2011-08-31T17:50:00,/api/v1/station/17/,Male,42997,/api/v1/trip/42997/,2011-08-31T17:38:00,/api/v1/station/37/,Closed,Registered,02139
454,B00364,1981.0,203,2011-08-31T17:41:00,/api/v1/station/33/,Male,42996,/api/v1/trip/42996/,2011-08-31T17:37:00,/api/v1/station/10/,Closed,Registered,01462
455,B00490,1978.0,828,2011-08-31T17:50:00,/api/v1/station/35/,Female,42995,/api/v1/trip/42995/,2011-08-31T17:36:00,/api/v1/station/16/,Closed,Registered,02115
456,B00033,1964.0,8948,2011-08-31T20:06:00,/api/v1/station/6/,Female,42994,/api/v1/trip/42994/,2011-08-31T17:36:00,/api/v1/station/22/,Closed,Registered,01970
457,B00046,1990.0,404,2011-08-31T17:43:00,/api/v1/station/5/,Male,42993,/api/v1/trip/42993/,2011-08-31T17:36:00,/api/v1/station/14/,Closed,Registered,02115
458,B00299,1979.0,225,2011-08-31T17:40:00,/api/v1/station/46/,Male,42992,/api/v1/trip/42992/,2011-08-31T17:36:00,/api/v1/station/16/,Closed,Registered,02115
